Input Host,IPv4,FQDN,Country,Postal,City,State,Lat,Long,VirusTotal Detected URLs,VirusTotal Detected Communicating Samples,VirusTotal Detected Downloaded Samples,VirusTotal Link,PassiveTotal Whois Contact Email,PassiveTotal Whois Server,PassiveTotal Whois Updated,PassiveTotal Whois Admin Organization,PassiveTotal Whois Tech Organization,PassiveTotal Whois Registrant Organization,PassiveTotal Whois Registrant Name,PassiveTotal Whois Country,PassiveTotal Whois Registrar,PassiveTotal Enrichment Network,PassiveTotal Enrichment Tags,PassiveTotal Enrichment Country,PassiveTotal Enrichment Longitude,PassiveTotal Enrichment Latitude,PassiveTotal Enrichment Sinkhole,PassiveTotal Enrichment ASN,PassiveTotal Enrichment ASN Name,PassiveTotal Enrichment Ever Compromised,PassiveTotal Enrichment Primary Domain,PassiveTotal Enrichment Dynamic DNS,PassiveTotal Enrichment Sub Domains,PassiveTotal Enrichment Top Level Domain,PassiveTotal Malware Samples,PassiveTotal OSInt Samples,Shodan Org,Shodan ISP,Shodan Hostnames,Shodan ASN,Shodan Ports,Shodan City,Shodan Region Code,Shodan Postal Code,Shodan Country Name,Shodan Country Code,Shodan Country Code 3,Shodan Tags,Shodan Area Code,Shodan DMA Code,Shodan Last Update,Shodan Latitude,Shodan Longitude,Shodan Total Hits,Shodan URL,Censys IPv4 Tags,Censys IPv4 Updated At,Censys IPv4 City,Censys IPv4 Province,Censys IPv4 Country,Censys IPv4 Country Code,Censys IPv4 Longitude,Censys IPv4 Latitude,Censys IPv4 Registered Country,Censys IPv4 Registered Country Code,Censys IPv4 Postal Code,Censys IPv4 Time Zone,Censys IPv4 Continent,Censys IPv4 ASN Org,Censys IPv4 ASN Description,Censys IPv4 ASN RIR,Censys IPv4 ASN Routed Prefix,Censys IPv4 ASN Country Code,Censys IPv4 ASN Path,Censys IPv4 ASN ASN,Censys IPv4 ASN Name,Censys IPv4 Protocols,Censys Matching Endpoints,Censys URL,ThreatCrowd URL,ThreatCrowd Votes,ThreatCrowd References,ThreatCrowd Number of Hashes,ThreatCrowd Number of Resolutions,ThreatCrowd Number of Subdomains,ThreatCrowd Emails,OTX URL,OTX General Postal Code,OTX General Country Code,OTX General City,OTX General Whois,OTX General DMA Code,OTX General Country Name,OTX General Area Code,OTX General Continent Code,OTX General Latitude,OTX General Longitude,OTX General ASN,OTX General Country Code 3,OTX Reputation AS,OTX Reputation Threat Score,OTX Reputation First Seen,OTX Reputation Tags,OTX Reputation Last Seen,OTX Reputation Org,OTX Reputation Country
114.34.84.13,114.34.84.13,114-34-84-13.HINET-IP.hinet.net.,Taiwan,,Taipei,,25.0392,121.525,0,0,,https://www.virustotal.com/en/ip-address/114.34.84.13/information/,network-adm@hinet.net,whois.apnic.net,2006-10-31,,,HINET-NET,"Data Communication Business Group,",tw,APNIC,114.34.0.0/16,hinetdata_communication_business_group,TW,121.52499999999998,25.039199999999994,False,3462,HINET Data Communication Business Group,False,,,,,0,0,HiNet,HiNet,114-34-84-13.HINET-IP.hinet.net,AS3462,554; 23; 80,,,,Taiwan,TW,TWN,,,,2016-08-22T20:13:22.865147,23.5,121.0,,https://www.shodan.io/host/114.34.84.13,,,,,,,,,,,,,,,,,,,,,,,,https://censys.io/ipv4/114.34.84.13,https://www.threatcrowd.org/ip.php?ip=114.34.84.13,,,0,0,0,,https://otx.alienvault.com/indicator/ip/114.34.84.13,,TW,Taipei,http://whois.domaintools.com/114.34.84.13,0,Taiwan,0,AS,25.039199829101562,121.5250015258789,AS3462 Data Communication Business Group,TWN,,,,,,,
116.102.34.212,116.102.34.212,,Vietnam,,Ho Chi Minh City,Ho Chi Minh City,10.8142,106.6438,0,0,,https://www.virustotal.com/en/ip-address/116.102.34.212/information/,soc@viettel.com.vn,whois.apnic.net,2006-12-01,VIETEL IPADMIN GROUP,VIETEL IPADMIN GROUP,VIETEL-VNNIC-VN,Viettel Corporation,vn,APNIC,116.102.32.0/20,viettel-as-vnviettel_corporation,VN,105.85000000000002,21.033299999999997,False,24086,VIETTEL-AS-VN Viettel Corporation,False,,,,,0,0,,,,,,,,,,,,,,,,,,,No information available for that IP.,,,,,,,,,,,,,,,,,,,,,,,,https://censys.io/ipv4/116.102.34.212,https://www.threatcrowd.org/ip.php?ip=116.102.34.212,,,0,0,0,,https://otx.alienvault.com/indicator/ip/116.102.34.212,,VN,Ho Chi Minh City,http://whois.domaintools.com/116.102.34.212,0,Vietnam,0,AS,10.814200401306152,106.643798828125,AS24086 Viettel Corporation,VNM,,,,,,,
118.75.180.168,118.75.180.168,168.180.75.118.adsl-pool.sx.cn.,China,,Taiyuan,Shanxi,37.7269,112.4708,0,0,,https://www.virustotal.com/en/ip-address/118.75.180.168/information/,zhy0607@public.ty.sx.cn,whois.apnic.net,2006-12-01,,,sxcz-tunliu-BAS,sxcz-tunliu-BAS,cn,APNIC,118.72.0.0/13,china169-backbonechina169_backbone,CN,112.88189999999997,36.327499999999986,False,4837,CHINA169-BACKBONE CNCGROUP China169 Backbone,False,,,,,0,0,,,,,,,,,,,,,,,,,,,No information available for that IP.,http,2016-05-13T22:08:17+00:00,Linjiang,Shanxi Sheng,China,CN,112.8819,36.3275,China,CN,,Asia/Shanghai,Asia,"CNCGROUP China169 Backbone, CN","CHINA169-BACKBONE CNCGROUP China169 Backbone, CN",unknown,118.72.0.0/13,,"[7018, 4837]",4837,CHINA169-BACKBONE,80/http,,https://censys.io/ipv4/118.75.180.168,https://www.threatcrowd.org/ip.php?ip=118.75.180.168,,,0,0,0,,https://otx.alienvault.com/indicator/ip/118.75.180.168,,CN,Taiyuan,http://whois.domaintools.com/118.75.180.168,0,China,0,AS,37.726898193359375,112.4708023071289,AS4837 CNCGROUP China169 Backbone,CHN,,,,,,,
123.195.184.13,123.195.184.13,123-195-184-13.dynamic.kbronet.com.tw.,Taiwan,,Taipei,,25.0392,121.525,0,0,,https://www.virustotal.com/en/ip-address/123.195.184.13/information/,cm.manager@ethome.com.tw,whois.apnic.net,2005-12-01,,,TUNGHO-NET,TUNG HO MULTIMEDIA CO. Ltd.,tw,APNIC,123.195.160.0/19,tfn-twtaiwan_fixed_network,TW,121.52499999999998,25.039199999999994,False,9924,TFN-TW Taiwan Fixed Network,False,,,,,0,0,"Taiwan Fixed Network, Telco and Network Service Pr",TUNG HO MULTIMEDIA CO. Ltd.,123-195-184-13.dynamic.kbronet.com.tw,AS9924,23; 80,Taipei,03,,Taiwan,TW,TWN,,,,2016-08-18T21:31:47.095902,25.039199999999994,121.52499999999998,,https://www.shodan.io/host/123.195.184.13,http,2016-08-22T02:07:27+00:00,Taipei,Taipei,Taiwan,TW,121.525,25.0392,Taiwan,TW,,Asia/Taipei,Asia,"Taiwan Fixed Network, Telco and Network Service Provider., TW","TFN-TW Taiwan Fixed Network, Telco and Network Service Provider., TW",unknown,123.195.160.0/19,,"[7018, 174, 9924]",9924,TFN-TW,80/http,,https://censys.io/ipv4/123.195.184.13,https://www.threatcrowd.org/ip.php?ip=123.195.184.13,,,0,0,0,,https://otx.alienvault.com/indicator/ip/123.195.184.13,,TW,Taipei,http://whois.domaintools.com/123.195.184.13,0,Taiwan,0,AS,25.039199829101562,121.5250015258789,"AS9924 Taiwan Fixed Network, Telco and Network Service Provider.",TWN,,,,,,,
14.110.216.236,14.110.216.236,,China,,Chongqing,Chongqing,29.5628,106.5528,0,0,,https://www.virustotal.com/en/ip-address/14.110.216.236/information/,abuse@cta.cq.cn,whois.apnic.net,2009-12-04,CHINANET CQ,CHINANET CQ,CHINANET-CQ,CHINANET Chongqing Province Network,cn,APNIC,14.104.0.0/13,chinanet-backboneno31,CN,106.55279999999999,29.56280000000001,False,4134,CHINANET-BACKBONE No.31,False,,,,,0,0,,,,,,,,,,,,,,,,,,,No information available for that IP.,,,,,,,,,,,,,,,,,,,,,,,,https://censys.io/ipv4/14.110.216.236,https://www.threatcrowd.org/ip.php?ip=14.110.216.236,,,0,0,0,,https://otx.alienvault.com/indicator/ip/14.110.216.236,,CN,Chongqing,http://whois.domaintools.com/14.110.216.236,0,China,0,AS,29.56279945373535,106.55280303955078,AS4134 Chinanet,CHN,,,,,,,
14.173.147.69,14.173.147.69,static.vnpt.vn.,Vietnam,,Hanoi,Thanh Pho Ha Noi,21.0333,105.85,0,0,,https://www.virustotal.com/en/ip-address/14.173.147.69/information/,huypt@vnpt.vn,whois.apnic.net,2009-12-04,,,VNPT-VNNIC-VN,VietNam Post and Telecom Corporation,vn,APNIC,14.173.144.0/20,vnpt-as-vn,VN,105.85000000000002,21.033299999999997,False,45899,VNPT-AS-VN VNPT Corp,False,,,,,0,0,Vietnam Posts and Telecommunications(VNPT),VDC,static.vnpt.vn,,7547; 23,Hanoi,44,,Vietnam,VN,VNM,,,,2016-08-14T10:40:46.174429,21.033299999999997,105.85000000000002,,https://www.shodan.io/host/14.173.147.69,,2016-08-26T01:13:20+00:00,Hanoi,Thanh Pho Ha Noi,Vietnam,VN,105.85,21.0333,Vietnam,VN,,Asia/Ho_Chi_Minh,Asia,"VNPT Corp, VN","VNPT-AS-VN VNPT Corp, VN",unknown,14.173.144.0/20,,"[11164, 3491, 45899, 45899]",45899,VNPT-AS-VN,443/https; 7547/cwmp,,https://censys.io/ipv4/14.173.147.69,https://www.threatcrowd.org/ip.php?ip=14.173.147.69,,,0,0,0,,https://otx.alienvault.com/indicator/ip/14.173.147.69,,VN,Hanoi,http://whois.domaintools.com/14.173.147.69,0,Vietnam,0,AS,21.033300399780273,105.8499984741211,AS45899 VNPT Corp,VNM,,,,,,,
14.181.192.151,14.181.192.151,static.vnpt.vn.,Vietnam,,Hanoi,Thanh Pho Ha Noi,21.0333,105.85,0,0,,https://www.virustotal.com/en/ip-address/14.181.192.151/information/,,,,,,,,,,14.181.192.0/20,vnpt-as-vn,VN,105.85000000000002,21.033299999999997,False,45899,VNPT-AS-VN VNPT Corp,False,,,,,0,0,Vietnam Posts and Telecommunications(VNPT),VDC,static.vnpt.vn,,81,Hanoi,44,,Vietnam,VN,VNM,,,,2016-08-19T20:26:31.593343,21.033299999999997,105.85000000000002,,https://www.shodan.io/host/14.181.192.151,,,,,,,,,,,,,,,,,,,,,,,,https://censys.io/ipv4/14.181.192.151,https://www.threatcrowd.org/ip.php?ip=14.181.192.151,,,0,0,0,,https://otx.alienvault.com/indicator/ip/14.181.192.151,,VN,Hanoi,http://whois.domaintools.com/14.181.192.151,0,Vietnam,0,AS,21.033300399780273,105.8499984741211,AS45899 VNPT Corp,VNM,,,,,,,
146.120.11.66,146.120.11.66,static.res.bb.1461201166.dslon.ws.,Bosnia and Herzegovina,,Gradacac,Federation of Bosnia and Herzegovina,44.8785,18.427599999999998,0,0,,https://www.virustotal.com/en/ip-address/146.120.11.66/information/,abuse@ripe.net,whois://whois.ripe.net,2010-11-16,Abuse Contact,RIPE NCC Operations,DSLON-NET3,DSL-Elektronika d.o.o.,ba,ORG-Dd6-RIPE,146.120.8.0/22,telesat-astelesat_doo,CZ,15.5,49.75,False,57888,TELESAT-AS Telesat d.o.o.,False,,,,,0,0,DSL-Elektronika d.o.o.,DSL-Elektronika d.o.o.,static.res.bb.1461201166.dslon.ws,AS44546,23; 37777; 80,Gradacac,01,,Bosnia and Herzegovina,BA,BIH,,,,2016-08-23T07:49:36.715273,44.8785,18.427600000000012,,https://www.shodan.io/host/146.120.11.66,http,2016-08-25T10:24:43+00:00,Modrica,Republika Srpska,Bosnia and Herzegovina,BA,18.302,44.9561,Czech Republic,CZ,,Europe/Sarajevo,Europe,", HR","TELESAT-AS , HR",unknown,146.120.8.0/22,,"[7018, 1299, 9146, 57888]",57888,TELESAT-AS,80/http; 23/telnet,,https://censys.io/ipv4/146.120.11.66,https://www.threatcrowd.org/ip.php?ip=146.120.11.66,,,0,0,0,,https://otx.alienvault.com/indicator/ip/146.120.11.66,,BA,Gradacac,http://whois.domaintools.com/146.120.11.66,0,Bosnia and Herzegovina,0,EU,44.878501892089844,18.427600860595703,AS57888 TELESAT-AS,BIH,,,,,,,
163.172.149.131,163.172.149.131,131-149-172-163.rev.cloud.scaleway.com.,United Kingdom,SS2,Southend-on-Sea,Southend-on-Sea,51.5333,0.7,0,0,,https://www.virustotal.com/en/ip-address/163.172.149.131/information/,nobody@apnic.net,whois.apnic.net,1992-12-05,Internet Assigned Numbers Authority,Internet Assigned Numbers Authority,ERX-NETBLOCK,Early registration addresses,au,Administered by APNIC,163.172.0.0/16,as12876,GB,0.6999999999999886,51.5333,False,12876,AS12876 ONLINE S.A.S.,False,,,,,0,0,,,,,,,,,,,,,,,,,,,No information available for that IP.,ssh,2016-08-24T14:29:36+00:00,Southend-on-Sea,England,United Kingdom,GB,0.7,51.5333,United Kingdom,GB,SS0,Europe/London,Europe,", FR","AS12876 , FR",unknown,163.172.0.0/16,,"[7018, 1299, 12876]",12876,AS12876,22/ssh,,https://censys.io/ipv4/163.172.149.131,https://www.threatcrowd.org/ip.php?ip=163.172.149.131,,,0,0,0,,https://otx.alienvault.com/indicator/ip/163.172.149.131,SS2,GB,Southend,http://whois.domaintools.com/163.172.149.131,0,United Kingdom,0,EU,51.53329849243164,0.699999988079071,AS12876,GBR,12876,2,2016-08-13T16:40:45,Malicious Host,2016-08-19T23:45:56,Dedibox SAS,GB (United Kingdom)
172.217.2.197,172.217.2.197,iad23s23-in-f5.1e100.net.; iad23s23-in-f197.1e100.net.,United States,94043,Mountain View,California,37.419200000000004,-122.0574,0,0,,https://www.virustotal.com/en/ip-address/172.217.2.197/information/,arin-contact@google.com,whois.arin.net,1992-12-05,Abuse,Google Inc,Google Inc.,,us,Administered by ARIN,172.217.0.0/16,malware; google,US,-122.0574,37.41919999999999,False,15169,GOOGLE - Google Inc.,False,,,,,2,0,Google,Google,iad23s23-in-f5.1e100.net,AS15169,443; 80,Mountain View,CA,94043,United States,US,USA,,650,807,2016-08-03T19:01:59.627433,37.41919999999999,-122.0574,,https://www.shodan.io/host/172.217.2.197,http; https,2016-08-26T11:01:09+00:00,Mountain View,California,United States,US,-122.0574,37.4192,United States,US,94043,America/Los_Angeles,North America,"Google Inc., US","GOOGLE - Google Inc., US",unknown,172.217.0.0/16,,[15169],15169,GOOGLE,80/http; 443/https,,https://censys.io/ipv4/172.217.2.197,https://www.threatcrowd.org/ip.php?ip=172.217.2.197,,,0,0,0,,https://otx.alienvault.com/indicator/ip/172.217.2.197,94043,US,Mountain View,http://whois.domaintools.com/172.217.2.197,807,United States,650,NA,37.4192008972168,-122.05740356445312,AS15169 Google Inc.,USA,,,,,,,
